Model,H_star,C_star,Emblematic_row
AR1_M1,0.977115217,0.021598811,25
AR1_M2,0.999064372,0.000928656,64
AR1_M3,0.945460947,0.055231232,55
AR1_M4,0.998831717,0.001151619,88
AR2_M1,0.965884508,0.034516369,75
AR2_M2,0.917991056,0.083038627,54
AR2_M3,0.972400159,0.026207722,80
AR2_M4,0.964378787,0.036037979,12
ARMA11_M1,0.899273719,0.087417354,53
ARMA11_M2,0.997515594,0.002436408,90
ARMA11_M3,0.932882172,0.067981611,87
ARMA11_M4,0.997835375,0.002158531,4
ARMA22_M1,0.943623218,0.057127743,87
ARMA22_M2,0.899985095,0.101073461,6
ARMA22_M3,0.966676113,0.031002253,9
ARMA22_M4,0.957208858,0.04344274,80
MA1_M1,0.969221002,0.028806827,30
MA1_M2,0.998890612,0.001084617,75
MA1_M3,0.993769576,0.006248668,46
MA1_M4,0.998752148,0.001237762,64
MA2_M1,0.990738671,0.009306265,3
MA2_M2,0.991545254,0.008479966,80
MA2_M3,0.990391482,0.009281556,96
MA2_M4,0.996216959,0.00377633,31
