"Motor_load","Embed_dim","DF_key","S_entropy","P_entropy","Stat_complexity"
"0","3","DE_time","0.773849301528346","0.773849301528346","0.170567946996735"
"0","3","FE_time","0.803932849734933","0.803932849734933","0.154419957607923"
"0","4","DE_time","0.683549166550417","0.683549166550417","0.263551404230038"
"0","4","FE_time","0.723783631798618","0.723783631798618","0.240544801295846"
"0","5","DE_time","0.632753421489911","0.632753421489911","0.345403058753676"
"0","5","FE_time","0.678343717949994","0.678343717949994","0.324519651109805"
"0","6","DE_time","0.600025610398335","0.600025610398335","0.406798659944639"
"0","6","FE_time","0.650690389580273","0.650690389580273","0.396763297913702"
"1","3","DE_time","0.857638072175492","0.857638072175492","0.118391475911944"
"1","3","FE_time","0.862345007293254","0.862345007293254","0.115015887460159"
"1","4","DE_time","0.776248085436909","0.776248085436909","0.234433258744693"
"1","4","FE_time","0.787405610569818","0.787405610569818","0.223960904754501"
"1","5","DE_time","0.730542305345674","0.730542305345674","0.330244780766075"
"1","5","FE_time","0.745476928626244","0.745476928626244","0.318159041649408"
"1","6","DE_time","0.702449027861717","0.702449027861717","0.416166656685257"
"1","6","FE_time","0.721914534151234","0.721914534151234","0.402825379481252"
"2","3","DE_time","0.873530497438987","0.873530497438987","0.106832036946927"
"2","3","FE_time","0.866426571363236","0.866426571363236","0.112057569933963"
"2","4","DE_time","0.782786094108817","0.782786094108817","0.240573454022703"
"2","4","FE_time","0.783509294576692","0.783509294576692","0.233604283659683"
"2","5","DE_time","0.730563575878492","0.730563575878492","0.33941448793443"
"2","5","FE_time","0.73611158604561","0.73611158604561","0.330844955976684"
"2","6","DE_time","0.70030256463674","0.70030256463674","0.426892048042606"
"2","6","FE_time","0.713437631090801","0.713437631090801","0.412894089543654"
"3","3","DE_time","0.876034555168286","0.876034555168286","0.104986552674266"
"3","3","FE_time","0.869061556070792","0.869061556070792","0.110125117541118"
"3","4","DE_time","0.780986764894793","0.780986764894793","0.244817759966872"
"3","4","FE_time","0.786700472654484","0.786700472654484","0.231691825781659"
"3","5","DE_time","0.725882995233147","0.725882995233147","0.343899116399711"
"3","5","FE_time","0.739397000638905","0.739397000638905","0.329177811432688"
"3","6","DE_time","0.695726256280753","0.695726256280753","0.430312156793506"
"3","6","FE_time","0.717029282138797","0.717029282138797","0.411986671388615"
