"","(Intercept)","H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","Disequilibrium"
"AR(2)",44.9100337550031,48.2866389898684,47.3020813149663,46.4645884752125,57.2776483460212,3.90699851144516,3.13383860161859,4.01638145292378,26.3789435246596,5.56906348721738
"MA(2)",170.188545258844,49.3767721497103,221.123406410928,15.4117056723024,23.1984594363643,70.2271748187746,79.6226713630774,53.0924173439308,514.931608668991,50.5569169453341
"Logistic",7.84484220804623e-09,NA,1.1536714039123e-08,NA,5.52689089086745e-09,6.95517802559511e-09,9.22604813913551e-12,3.41490953946483e-13,NA,NA
"Sine",3.5890269078672e-13,NA,NA,3.00493060574911e-21,NA,1.39524413595677e-29,NA,1.92515256844749e-25,NA,1.12021545739051e-26
"ARMA+Sine(w=0.1)",1.88246575223431e-10,9.59422445331209e-11,7.72221864898622e-11,1.13277310370638e-10,4.14289616903992e-10,5.1505661361453e-11,3.62244904906354e-11,5.31377449777946e-11,1.94340913797851e-10,1.01058344039112e-10
"ARMA+Sine(w=0.2)",113.768335405889,17.568116311487,143.542870091636,50.8474538874254,73.9864417825755,189.420914587007,145.802190523717,185.625952505557,181.681138094789,26.416625387615
"ARMA+Sine(w=0.3)",113.768335420918,17.5681163198795,143.542870091702,50.8474538936206,73.9864418265643,189.420914588127,145.802190527931,185.625952506349,181.68113809441,26.4166253845045
"AR2+Logistic(w=0.1)",23.5813448558163,16.5522956860536,15.5381905830844,19.2297609354313,106.213756909869,6.76733240781885,5.55234939125018,6.87401503834401,38.1254548809177,9.65262688560861
"AR2+Sine(w=0.8)",35.3795288856682,40.3728907785906,39.8152796233597,37.9271005075952,82.2226026456957,5.62413005449856,4.5516105191102,5.6401452418781,31.327328990219,7.64599503241566
"MA2+Logistic(w=0.2)",32.8819576369874,26.4384620831115,24.7420521606652,28.878986142985,105.295114636435,7.11786719255222,5.81694705219472,6.70925098771484,21.8707791104968,8.60140823748174
"MA2+Logistic(w=0.7)",171.346491995723,49.3751114496887,220.801688272089,13.4497915150211,20.5730617134249,68.9578173721403,77.3997394819807,53.0662609184345,419.539945657928,49.1908204206549
"MA2+Sine(w=0.4)",3.16064310209801,2.93425832542364,2.83786605714123,3.01782031906604,1.31055610531567,0.271137496361669,0.229138585292513,0.243668680844679,0.105818585468301,0.29205637765228
"MA2+Sine(w=0.6)",48.4232354428094,26.7624063508782,93.5457896187942,14.1564038431142,22.7806815677515,47.9141203485196,54.2388281454215,30.3546620223832,481.846054954067,37.1671592834708
"MA2+Sine(w=0.8)",0.808759368444829,1.01799539166666,1.21739913868945,0.909403464529588,21.1933132449804,0.669444675318684,0.571038524102663,0.595335781861475,1.01657794107586,0.701951489850516
